,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,luderitz,-26.6481,15.1594,67.32,41,0,9.19,NA,1651004206
1,kapaa,22.0752,-159.319,78.78,89,100,14.97,US,1651004207
2,saskylakh,71.9167,114.0833,-2.56,98,99,3.67,RU,1651004207
3,vila velha,-20.3297,-40.2925,82.35,86,40,9.22,BR,1651004119
4,pasighat,28.0667,95.3333,69.12,72,34,4.45,IN,1651004208
5,tuktoyaktuk,69.4541,-133.0374,14.0,85,100,5.75,CA,1651004208
6,arraial do cabo,-22.9661,-42.0278,78.76,83,0,13.8,BR,1651004208
7,castro,-24.7911,-50.0119,73.15,75,50,3.78,BR,1651004209
8,waipawa,-41.4122,175.5153,51.87,83,24,3.0,NZ,1651004209
9,vaini,-21.2,-175.2,77.16,69,20,9.22,TO,1651004209
10,iqaluit,63.7506,-68.5145,5.7,55,57,2.1,CA,1651004209
11,rocha,-34.4833,-54.3333,74.17,77,58,12.15,UY,1651004210
12,punta arenas,-53.15,-70.9167,42.91,61,40,9.22,CL,1651004210
13,hilo,19.7297,-155.09,78.28,85,100,4.61,US,1651004210
14,baie-comeau,49.2168,-68.1489,44.28,87,100,3.44,CA,1651004211
15,broome,42.2506,-75.833,55.71,82,100,8.05,US,1651004211
16,deputatskiy,69.3,139.9,0.41,99,100,1.79,RU,1651004211
17,bengkulu,-3.8004,102.2655,77.47,89,53,5.44,ID,1651004212
18,lata,40.1629,-8.3327,57.92,94,2,1.28,PT,1651004212
19,bluff,-46.6,168.3333,50.81,81,74,7.63,NZ,1651004212
20,ushuaia,-54.8,-68.3,40.66,75,75,4.61,AR,1651004131
21,kaitangata,-46.2817,169.8464,49.44,93,83,6.76,NZ,1651004213
22,san ramon,37.7799,-121.978,71.56,54,0,17.27,US,1651004138
23,imbituba,-28.24,-48.6703,77.86,85,100,9.4,BR,1651004213
24,port lincoln,-34.7333,135.8667,61.18,88,26,4.32,AU,1651004213
25,tura,25.5198,90.2201,73.63,82,0,5.19,IN,1651004200
26,tevriz,57.509,72.4042,41.27,93,35,3.6,RU,1651004214
27,santa ana,33.7456,-117.8678,89.85,42,75,12.66,US,1651004214
28,hithadhoo,-0.6,73.0833,84.85,73,100,8.46,MV,1651004215
29,puerto ayora,-0.7393,-90.3518,78.76,75,88,7.92,EC,1651004215
30,airai,-8.9266,125.4092,58.5,89,100,0.36,TL,1651004215
31,dundwaraganj,27.7333,78.95,87.33,12,0,0.22,IN,1651004215
32,mar del plata,-38.0023,-57.5575,71.62,94,75,15.01,AR,1651004216
33,yatou,37.15,122.3833,50.34,55,53,11.27,CN,1651004216
34,yeniseysk,58.4497,92.1703,29.34,97,100,1.99,RU,1651004216
35,alice town,25.7167,-79.3,75.61,68,0,12.12,BS,1651004217
36,massakory,12.996,15.7293,94.42,27,10,4.92,TD,1651004217
37,chokurdakh,70.6333,147.9167,4.95,98,100,6.42,RU,1651004217
38,shimoda,34.6667,138.95,69.1,95,100,23.22,JP,1651004218
39,pangkalanbuun,-2.6833,111.6167,75.42,97,100,0.96,ID,1651004218
40,wanning,18.8003,110.3967,77.99,93,14,9.93,CN,1651004219
41,yellowknife,62.456,-114.3525,46.92,46,20,9.22,CA,1651004219
42,klaksvik,62.2266,-6.589,40.12,67,99,6.2,FO,1651004219
43,upernavik,72.7868,-56.1549,30.2,74,92,6.67,GL,1651004219
44,umm kaddadah,13.6017,26.6876,87.01,20,100,9.19,SD,1651004220
45,saint-philippe,-21.3585,55.7679,73.22,83,37,11.9,RE,1651004220
46,uppsala,60.0,17.75,33.31,69,40,0.0,SE,1651004220
47,kruisfontein,-34.0033,24.7314,52.88,93,0,7.34,ZA,1651004221
48,kaeo,-35.1,173.7833,58.32,93,14,4.34,NZ,1651004220
49,teya,60.3778,92.6267,9.46,98,60,1.52,RU,1651004221
50,leningradskiy,69.3833,178.4167,10.45,90,63,10.4,RU,1651004222
51,souillac,-20.5167,57.5167,75.58,88,75,10.36,MU,1651004222
52,lao cai,22.4833,103.95,75.0,55,0,1.95,VN,1651004222
53,tonj,7.2737,28.6822,86.36,32,81,3.62,SS,1651004223
54,rikitea,-23.1203,-134.9692,78.15,74,100,22.57,PF,1651004223
55,jijiga,9.35,42.8,67.32,71,79,4.43,ET,1651004223
56,atuona,-9.8,-139.0333,79.27,72,25,23.15,PF,1651004121
57,egvekinot,66.3167,-179.1667,22.71,82,100,3.56,RU,1651004224
58,farafangana,-22.8167,47.8333,75.65,86,96,14.2,MG,1651004224
59,touros,-5.1989,-35.4608,81.18,75,7,14.32,BR,1651004224
60,nikolskoye,59.7035,30.7861,40.89,78,84,7.16,RU,1651004225
61,cape town,-33.9258,18.4232,61.21,72,0,18.41,ZA,1651004225
62,busselton,-33.65,115.3333,56.28,87,72,3.02,AU,1651004225
63,butaritari,3.0707,172.7902,81.01,83,35,19.19,KI,1651004226
64,vardo,70.3705,31.1107,17.58,93,100,31.07,NO,1651004226
65,ambilobe,-13.2,49.05,72.93,86,84,3.71,MG,1651004226
66,kahului,20.8947,-156.47,82.42,64,40,14.97,US,1651004227
67,havoysund,70.9963,24.6622,21.43,65,100,27.34,NO,1651004227
68,bardiyah,31.7561,25.0865,65.34,62,1,7.29,LY,1651004227
69,phibun mangsahan,15.2447,105.2291,80.58,75,100,7.38,TH,1651004228
70,linxia,35.6003,103.2064,55.96,50,93,4.72,CN,1651004228
71,salihorsk,52.7876,27.5415,46.92,76,100,6.58,BY,1651004228
72,avarua,-21.2078,-159.775,82.45,83,40,6.91,CK,1651004229
73,poum,-20.2333,164.0167,76.26,63,100,17.02,NC,1651004229
74,mount clemens,42.5973,-82.878,47.37,69,100,13.8,US,1651004229
